Unique Key,Created Date,Closed Date,duration,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
65262716,6/14/2025 14:33:34,6/14/2025 14:33:34,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10003,113 EAST   13 STREET,EAST   13 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,03 MANHATTAN,1005590055,MANHATTAN,987179,206456,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.73335021,-73.98943142,"(40.73335020666374, -73.98943141513733)"
65270292,6/14/2025 14:30:33,6/14/2025 14:30:33,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10462,2155 PAULDING AVENUE,PAULDING AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,11 BRONX,2043250001,BRONX,1022832,250999,UNKNOWN,Unspecified,BRONX,,,,,,,,40.85552485,-73.86053045,"(40.855524845141545, -73.86053044648474)"
65266016,6/14/2025 14:06:01,6/14/2025 14:06:01,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11235,3232 SHORE PARKWAY SOUTH SERVICE ROAD,SHORE PARKWAY SOUTH SERVICE ROAD,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,15 BROOKLYN,3087650019,BROOKLYN,996399,152362,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58486628,-73.95626075,"(40.58486627676468, -73.95626074893555)"
65264895,6/14/2025 13:50:58,6/14/2025 13:50:58,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10472,2010 POWELL AVENUE,POWELL AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,09 BRONX,2038010001,BRONX,1024038,241876,UNKNOWN,Unspecified,BRONX,,,,,,,,40.83047956,-73.85622503,"(40.830479560431925, -73.85622502935952)"
65269204,6/14/2025 13:26:37,6/14/2025 13:26:37,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10457,611 CROTONA PARK NORTH,CROTONA PARK NORTH,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,06 BRONX,2029440001,BRONX,1013288,246333,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84275461,-73.89505109,"(40.84275461199337, -73.89505109358801)"
65263776,6/14/2025 13:02:02,6/14/2025 13:02:02,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11226,441 OCEAN AVENUE,OCEAN AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,14 BROOKLYN,3050810001,BROOKLYN,994976,176779,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.6518877,-73.96134509,"(40.651887695962756, -73.96134509059807)"
65263775,6/14/2025 13:02:02,6/14/2025 13:02:02,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11226,180 EAST   17 STREET,EAST   17 STREET,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,14 BROOKLYN,3051200012,BROOKLYN,994390,174728,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.64625884,-73.96346003,"(40.64625883653614, -73.96346003048849)"
65263774,6/14/2025 12:40:08,6/14/2025 12:40:08,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11372,90-10 34 AVENUE,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,03 QUEENS,4014510001,QUEENS,1018219,214195,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.75452706,-73.87739211,"(40.754527061691505, -73.87739211112014)"
65263777,6/14/2025 12:34:07,6/14/2025 12:34:07,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10453,2195 MORRIS AVENUE,MORRIS AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,05 BRONX,2031810034,BRONX,1011046,251234,UNKNOWN,Unspecified,BRONX,,,,,,,,40.85621349,-73.90313452,"(40.85621348781439, -73.90313451781053)"
65269203,6/14/2025 12:31:07,6/14/2025 12:31:07,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11355,41-11 PARSONS BOULEVARD,PARSONS BOULEVARD,,,,,ADDRESS,FLUSHING,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,07 QUEENS,4050500004,QUEENS,1033729,216292,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76020959,-73.82139493,"(40.76020959068323, -73.82139493310935)"
65266018,6/14/2025 12:22:14,6/14/2025 12:22:14,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10030,117 WEST  141 STREET,WEST  141 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,10 MANHATTAN,1020100018,MANHATTAN,1001210,237368,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.81817972,-73.93872595,"(40.81817972089657, -73.93872594945869)"
65264898,6/14/2025 12:18:55,6/14/2025 12:18:55,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10010,11 EAST   22 STREET,EAST   22 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,05 MANHATTAN,1008517503,MANHATTAN,987335,209017,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74037947,-73.98886735,"(40.740379465438394, -73.98886735264789)"
65262713,6/14/2025 12:18:55,6/14/2025 12:18:55,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11206,536 FLUSHING AVENUE,FLUSHING AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,03 BROOKLYN,3017190001,BROOKLYN,997549,194143,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.69954446,-73.95203812,"(40.69954446394876, -73.95203812002367)"
65268168,6/14/2025 12:09:54,6/14/2025 12:09:54,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10451,751 GERARD AVENUE,GERARD AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,04 BRONX,2024820030,BRONX,1004604,239832,UNKNOWN,Unspecified,BRONX,,,,,,,,40.82493553,-73.92645645,"(40.82493553386665, -73.92645644504721)"
65266017,6/14/2025 11:57:31,6/14/2025 11:57:31,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10463,3130 ALBANY CRESCENT,ALBANY CRESCENT,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,08 BRONX,2032670020,BRONX,1011052,259548,UNKNOWN,Unspecified,BRONX,,,,,,,,40.87903285,-73.90307958,"(40.87903285457448, -73.90307957505762)"
65263780,6/14/2025 10:55:28,6/14/2025 10:55:28,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10030,695 SAINT NICHOLAS AVENUE,SAINT NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,09 MANHATTAN,1020500131,MANHATTAN,999474,239328,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.82356253,-73.94499342,"(40.823562528881716, -73.94499342041004)"
65263778,6/14/2025 10:46:25,6/14/2025 10:46:25,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10003,35 EAST    9 STREET,EAST    9 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,02 MANHATTAN,1005610045,MANHATTAN,986018,205923,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.73188756,-73.99362074,"(40.731887560844534, -73.99362074159502)"
65267081,6/14/2025 10:43:25,6/14/2025 10:43:25,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10467,3530 ROCHAMBEAU AVENUE,ROCHAMBEAU AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,07 BRONX,2033280075,BRONX,1017693,260760,UNKNOWN,Unspecified,BRONX,,,,,,,,40.88233675,-73.87905861,"(40.88233674855886, -73.8790586069511)"
65269207,6/14/2025 10:15:47,6/14/2025 10:15:47,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11226,179 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,17 BROOKLYN,3050850090,BROOKLYN,997612,177018,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.65254011,-73.95184487,"(40.65254011371671, -73.95184486671171)"
65270293,6/14/2025 10:06:45,6/14/2025 10:06:45,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10037,53 EAST  131 STREET,EAST  131 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,11 MANHATTAN,1017560030,MANHATTAN,1001583,234144,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.80933002,-73.93738668,"(40.8093300190546, -73.93738668006867)"
65269208,6/14/2025 9:51:26,6/14/2025 9:51:26,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11216,32 ROGERS AVENUE,ROGERS AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,08 BROOKLYN,3012180005,BROOKLYN,997357,185454,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67569544,-73.95274746,"(40.67569544210125, -73.95274745767762)"
65263779,6/14/2025 9:14:36,6/14/2025 9:14:36,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10310,240 BROADWAY,BROADWAY,,,,,ADDRESS,STATEN ISLAND,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,01 STATEN ISLAND,5001960001,STATEN ISLAND,951636,171107,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.63626573,-74.11750852,"(40.636265729991166, -74.11750852358752)"
65270291,6/14/2025 7:25:22,6/14/2025 7:25:22,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10456,984 SHERIDAN AVENUE,SHERIDAN AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,04 BRONX,2024550018,BRONX,1006505,241387,UNKNOWN,Unspecified,BRONX,,,,,,,,40.82919898,-73.91958255,"(40.829198978494375, -73.919582552466)"
65264894,6/14/2025 0:50:02,6/14/2025 0:50:02,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10451,341 EAST  162 STREET,EAST  162 STREET,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,03 BRONX,2024097501,BRONX,1007831,239949,UNKNOWN,Unspecified,BRONX,,,,,,,,40.82524864,-73.91479617,"(40.825248639786615, -73.91479616785949)"
65266019,6/13/2025 23:43:21,6/13/2025 23:43:21,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10039,247 WEST  145 STREET,WEST  145 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,10 MANHATTAN,1020310007,MANHATTAN,1000726,238846,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.82223733,-73.94047094,"(40.822237329107956, -73.94047094277528)"
65258712,6/13/2025 19:37:19,6/13/2025 19:37:19,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10034,5000 BROADWAY,BROADWAY,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,12 MANHATTAN,1022300001,MANHATTAN,1006817,255719,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.86853528,-73.91840692,"(40.8685352762629, -73.91840691672459)"
65261338,6/13/2025 19:19:16,6/13/2025 19:19:16,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10470,4769 WHITE PLAINS ROAD,WHITE PLAINS ROAD,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,12 BRONX,2051070003,BRONX,1025843,269117,UNKNOWN,Unspecified,BRONX,,,,,,,,40.90523938,-73.84953354,"(40.90523937837374, -73.84953354331522)"
65260048,6/13/2025 19:12:50,6/13/2025 19:12:50,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10452,85 MCCLELLAN STREET,MCCLELLAN STREET,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,04 BRONX,2024790001,BRONX,1006114,243050,UNKNOWN,Unspecified,BRONX,,,,,,,,40.83376441,-73.92098999,"(40.833764410623225, -73.92098999262167)"
65253726,6/13/2025 19:06:41,6/13/2025 19:06:41,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10457,2031 HUGHES AVENUE,HUGHES AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,06 BRONX,2030690093,BRONX,1014383,248211,UNKNOWN,Unspecified,BRONX,,,,,,,,40.8479055,-73.89108512,"(40.84790549784514, -73.89108511814386)"
65255029,6/13/2025 18:33:06,6/13/2025 18:33:06,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11210,2054 NOSTRAND AVENUE,NOSTRAND AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,14 BROOKLYN,3052520051,BROOKLYN,998703,170747,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.63532586,-73.94792646,"(40.63532585816683, -73.94792646218312)"
65257511,6/13/2025 18:20:43,6/13/2025 18:20:43,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10468,3054 VILLA AVENUE,VILLA AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,07 BRONX,2033100010,BRONX,1015191,257658,UNKNOWN,Unspecified,BRONX,,,,,,,,40.87383185,-73.88812102,"(40.873831852493794, -73.88812101691687)"
65260046,6/13/2025 18:02:21,6/13/2025 18:02:21,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10006,123 WASHINGTON STREET,WASHINGTON STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,01 MANHATTAN,1000537502,MANHATTAN,980363,197635,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.70913832,-74.0140202,"(40.70913832188969, -74.01402020081578)"
65258713,6/13/2025 17:41:15,6/13/2025 17:41:15,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10040,374 WADSWORTH AVENUE,WADSWORTH AVENUE,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,12 MANHATTAN,1021700260,MANHATTAN,1003662,251356,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.85656766,-73.92982674,"(40.856567664593555, -73.92982674386413)"
65256256,6/13/2025 17:35:04,6/13/2025 17:35:04,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11374,98-41 QUEENS BOULEVARD,QUEENS BOULEVARD,,,,,ADDRESS,REGO PARK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,06 QUEENS,4021040001,QUEENS,1023982,204562,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.72806289,-73.85664804,"(40.72806289204952, -73.85664804250655)"
65261339,6/13/2025 16:40:10,6/13/2025 16:40:10,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10472,2010 POWELL AVENUE,POWELL AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,09 BRONX,2038010001,BRONX,1024038,241876,UNKNOWN,Unspecified,BRONX,,,,,,,,40.83047956,-73.85622503,"(40.830479560431925, -73.85622502935952)"
65261347,6/13/2025 15:47:53,6/13/2025 15:47:53,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11372,35-05 94 STREET,94 STREET,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,03 QUEENS,4014680001,QUEENS,1019311,213493,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.75259599,-73.87345431,"(40.75259598918735, -73.87345430633093)"
65253728,6/13/2025 15:41:52,6/13/2025 15:41:52,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10030,117 WEST  141 STREET,WEST  141 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,10 MANHATTAN,1020100018,MANHATTAN,1001210,237368,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.81817972,-73.93872595,"(40.81817972089657, -73.93872594945869)"
65253733,6/13/2025 15:29:46,6/13/2025 15:29:46,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11235,3232 SHORE PARKWAY,SHORE PARKWAY,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,15 BROOKLYN,3087650019,BROOKLYN,996399,152362,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58486628,-73.95626075,"(40.58486627676468, -73.95626074893555)"
65260045,6/13/2025 15:29:27,6/13/2025 15:29:27,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10462,900 LYDIG AVENUE,LYDIG AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,11 BRONX,2042980022,BRONX,1022466,250582,UNKNOWN,Unspecified,BRONX,,,,,,,,40.8543819,-73.86185587,"(40.85438189777797, -73.86185587000068)"
65261335,6/13/2025 15:04:56,6/13/2025 15:04:56,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11373,91-40 LAMONT AVENUE,LAMONT AVENUE,,,,,ADDRESS,ELMHURST,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,04 QUEENS,4015770001,QUEENS,1019146,210414,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74414557,-73.87406582,"(40.744145570561265, -73.87406581678226)"
65256253,6/13/2025 15:01:55,6/13/2025 15:01:55,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10456,1188 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,04 BRONX,2024560163,BRONX,1006912,243169,UNKNOWN,Unspecified,BRONX,,,,,,,,40.83408902,-73.91810586,"(40.834089019554206, -73.91810585706332)"
65252413,6/13/2025 14:31:27,6/13/2025 14:31:27,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10032,1909 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,09 MANHATTAN,1020680046,MANHATTAN,999980,242150,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.83130723,-73.94315855,"(40.8313072254753, -73.94315855121066)"
65261340,6/13/2025 14:09:18,6/13/2025 14:09:18,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10468,165 WEST  197 STREET,WEST  197 STREET,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,08 BRONX,2032500001,BRONX,1011397,257153,UNKNOWN,Unspecified,BRONX,,,,,,,,40.87245827,-73.9018417,"(40.872458267974395, -73.90184170442664)"
